Name of Source,URL ,Type,Details,Image,Updated,Approved
Data.gov,www.data.gov,"Data Sources,Open Source / Open Access",,Screenshot 2024-05-14 at 3.42.57 PM.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/6k08sbJJahaOSdVlIHqIZw/gswlbuKjWsyMtMLu737QmrjLvy4wrJN2BxRaP1fKNxHo_3N8kW3gm-a7xus90A4oYTUEIgBJsEqdHU5tBQvzGdgXtntG4RpslUXaIRnd2n6v-JwCQqVK8O2GM2BfQkJEFSCp6UsxERrcmaGcmVPvm78f6hAxqA9rmos90Zf8kHo-C92VL3a0-5fArthkxxqY/SftTLigln7ZnOnFSuftS75iErOYTbkxztYoWEdGG8Lk),5/19/2024 11:42am,
DataBank,https://databank.worldbank.org/home.aspx,"Data Sources,Open Source / Open Access",,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/j7vwvyxHOwZbcwtQdeBtSw/imhp2CwWmIJGMPF7zPJBjv66dQSQ8JmvsYzhGqUuFj1l3mb40d1AGxR2suCGhJY8wdDBhXQd749KwqHaLv--DJxzyUjfl4pcRWRgxT0s97TGqb9E_hb3tjTEgr2quujTRJ62JjoDsLZznXvT3TUvxw/IuHS8wU79YuLHSPAxrHa2a6ImluC3GkGnlYP7gtiU2k),5/19/2024 11:44am,
NYC Open Data,https://opendata.cityofnewyork.us/,"Data Sources,Open Source / Open Access",,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/AOQJxVYzqPtq5HWplip9jw/D2nWhik-lw79olFCM75Iv2hEMu61W0bcX-YXusosMF8LIPDXYlJztXnPd-vEktfkua_AcKMsfiScBVLNtjT1IZpvxbxzlXf1Fmnh-edvMoAvewkwW76QTwi6rgbqtrHs_VfUTi0uSFHfMKgSLgz5tw/v8wiCqFz6fz1pPGftfuXKVTtVnHzEf5TIVpN_cHLleM),5/19/2024 11:42am,
StreetEasy Housing Data,https://streeteasy.com/blog/data-dashboard/,"Data Sources,Open Source / Open Access",,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/Bj-OnO5uYncDVYdWkzvNtQ/MhbPVzCSyknqRgg1ho6Oz04vREd2KnCS-o6Ws6d9w1DmzWTwkRzJc9oDCTPFne8LWZozE-V7dwsAOTu-CrDLLhZGmTIXO7BbUxk0382feTK7ZTgG5YtZhnciehm9m-_6l10jFCqLCt6dgx8OmPSAEg/Dj40kfMnTT2CkvsMQT29aoMCMf26uQvAKELgD46zIUs),5/19/2024 11:42am,
AWS Data Exchange,https://aws.amazon.com/marketplace/search/results?trk=8384929b-0eb1-4af3-8996-07aa409646bc&sc_channel=el&FULFILLMENT_OPTION_TYPE=DATA_EXCHANGE&CONTRACT_TYPE=OPEN_DATA_LICENSES&filters=FULFILLMENT_OPTION_TYPE%2CCONTRACT_TYPE,"Data Sources,Open Source / Open Access",,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/2LwQ_h7hDPnWUZ07uZRHTg/kd2gqlfETg5XawEYkytDLG7y60M6_fVeBs5vRvt6TLKxMbk2GW_E-y916FEahPclZ1FmYVNe6NIRyCIeIOkCi0JqdLfMvZwNca2W1CcMUT-Efsi0AjCzDi9cWOS4KNVNC-u-UBfj0XTl9QkK1k_H2g/4qMMQDmPwzYYAwB2c0MiDpc4WIq2WcTxNMfs9P643Mg),5/19/2024 11:42am,
Chicago Data Portal,https://data.cityofchicago.org/,"Data Sources,Open Source / Open Access",,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/uYLLY9RIl9yPWaDjVH_34Q/_EGOhOke7ZbS1VVDnsn9dga9p2KoAgMLX76ANhUg9MBATdW4UacvptruPskmN4YfwBeUGq831GwViSdDjQ5fyq9fauZVfiMzVvEbZF2J9XprnGQ6hZwlkiN7N-ww-nDPvz8e5bmIVCz1AZmngMK_ng/4TEsj8fsX6FKt4pq4DTDdW6P6JRyZRKqrM5Zl9oi2YQ),5/19/2024 11:43am,
Information is Beautiful Listings,https://informationisbeautiful.net/data/,"Data Sources,Open Source / Open Access",,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/kPa6I4slPqHkeONwhyWrnQ/SvbW4OkjyWwm6fRvJ1WYbQj0kZ7CSom6PgZ31xrfC9rAWaF-KMsF1OM43M--j8OWio6IOMjF2AjjNyVkCHbbC0hWhR6i2LDgbWTzwIc18BONRLNikdHIs2Xgfk39qAP4O9W9W6bhtzchwXy82AzauQ/svqnY8ywBvSZNOAoxIxXCc0ZrIcDo9STxNXiB6RiZ5Q),5/19/2024 11:43am,
TidyTuesday GitHub Repository,https://github.com/rfordatascience/tidytuesday/blob/master/README.md,"Data Sources,Open Source / Open Access",TidyTuesday is a weekly social data project,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/-IT2Z8Sg9eUFqkz0x9PxXA/mABXJVzlgPmEAQcZ-_W6efldD-KsqfTcoaESny2WRznVc1ajgcJfI39LYw7bU4Kgaa1rglT1A8BARdRXgu3wZnlNnc0UYdh-pVEwOwgex9gVUHkG-a9_qNThwY9JzWhXrRpyhYUSPyu5kJENdG4WAQ/yNcbUHHV4KV78-WioLrvxaMEoZFXk9vpoYv9KKgsLBM),5/19/2024 11:43am,
Data is Plural Structured Archive ,https://docs.google.com/spreadsheets/d/1wZhPLMCHKJvwOkP4juclhjFgqIY8fQFMemwKL2c64vk/edit#gid=0,"Data Sources,Open Source / Open Access",,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/upylgYXM4ALRPNo3YVwFGg/M4A_CvudaT3yOFPjpu4NzYl2nx1Zn5e-Opjeyy3aFiJxUYqClw6YwglvEdB6BXP023x6qAV2fX9d1o5I11KWZlkbazfwx6CVWxSZB8V6a3teE0U09jefcc0Uj-gwUsrd_e21cYOylsRsKrI_jpU_xA/hQ-A_KQnw5SQhzynaVra_oRTAb07h9pFEbji7qnHZqU),5/19/2024 11:43am,
Vega Datasets,https://github.com/vega/vega-datasets,"Data Sources,Open Source / Open Access",Common repository for example datasets used by Vega-related projects,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/3QmTqw7aMLr7iqtqT_qGBg/vxj0fpiSzzr4bJ3E3sE4NN0pZ7Q7hlCFRpJrESDTncVmFusmHNmS7_-tyNXv5rrK906kcyYvlvd_upkBJfRjjlNIlbTcAMDRT6BIzNbJ2_OdEq_nUIdPXkvxPWPvZRgi7Be9-cUFCfj6BHxSwQZNvw/pWpA1r3gFgQbxKAITSDfLuq2X7YcfKKYK4Y8X0v3X4U),5/19/2024 11:43am,
Awesome Public Datasets,https://github.com/awesomedata/awesome-public-datasets,"Data Sources,Open Source / Open Access",A topic-centric list of HQ open datasets,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/wvmUL4PtAhYHOY2aK31uTg/q2Iq0Zsler3nplqHH0WPk6XDyRppR9jkWemuQde-G_EuBDha3Ucbw20D2USZfku9SgWfQAOJTt5JGiMFSoAJlQ6SoAJEktbcLkBIFtXShBN3N5bx_6-l6n8mRSCyzoFQ2KzJtyWAE9cc0wkZKlD33g/FPPH0a0e_at8zU5llIMaQlBSNL-wsnGYxbri_JoxP_0),5/19/2024 11:43am,
Open Data Stack Exchange,https://opendata.stackexchange.com/,"Data Sources,Open Source / Open Access",,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/jmFzT8jHtyqwr7q4ctRouw/UxvMp1yhgF1Py_eL14K8HqMvGRAVALEh79OHIedJsf-6qTAxof1svWnYvx6P58-7DvNo2R3XPurWGeshS8d2-nzao6ZNNCmrnO8yd5SgVt-Mury4WtD35JjT_FhhS7-wshYbUCjqnzpVHkZGYIt8Fg/_qnUUwxDnBfMJYtj9pOCaFjDIrTgmvcFJlDHmeBaBmo),5/19/2024 11:43am,
